ID,Title,Slug,Old URL,Date,Year,Categories,Tags,Words,Featured img,Suggested,Decision,Target collection,Notes
6417,Pledge YES for the NHS,pledge-yes-for-the-nhs,https://lasunison.co.uk/pledge-yes-for-the-nhs,2022-08-13,2022,Pay | UNISON News,afc | ballot | consultation | government | NHS | pay | unison | vote,71,Y,Keep (recent),,,
6407,"£30m ambulance contract as effective as sticking plaster on wound, says UNISON",30m-ambulance-contract-as-effective-as-sticking-plaster-on-wound-says-unison,https://lasunison.co.uk/30m-ambulance-contract-as-effective-as-sticking-plaster-on-wound-says-unison,2022-08-02,2022,UNISON News,,133,Y,Keep (recent),,,
6393,NHS Pay Announcement,nhs-pay-announcement,https://lasunison.co.uk/nhs-pay-announcement,2022-07-21,2022,Pay | UNISON News,afc | consultation | government | NHS | pay | talks | unison,576,Y,Keep (recent),,,
6399,"Delayed, disappointing pay rise will leave staff considering their futures, say health unions",delayed-disappointing-pay-rise-will-leave-staff-considering-their-futures-say-health-unions,https://lasunison.co.uk/delayed-disappointing-pay-rise-will-leave-staff-considering-their-futures-say-health-unions,2022-07-20,2022,Pay | UNISON News,,347,Y,Keep (recent),,,
6387,"Government announces a £1,400 pay award for NHS staff in England",government-announces-a-1400-pay-award-for-nhs-staff-in-england,https://lasunison.co.uk/government-announces-a-1400-pay-award-for-nhs-staff-in-england,2022-07-20,2022,Pay | UNISON News,afc | consultation | government | NHS | pay | talks | unison | vote,307,Y,Keep (recent),,,
6364,UPDATE YOUR DETAILS,update-your-details-post,https://lasunison.co.uk/update-your-details-post,2022-07-05,2022,Communications | Membership,ambulance | branch | communications | talks | unison,135,Y,Keep (recent),,,
5129,Financial assistance,financial-assistance,https://lasunison.co.uk/financial-assistance,2022-06-22,2022,Benefits | UNISON News | Welfare,benefits | covid 19 | unison | welfare,1002,Y,Keep (recent),,,
6345,SGE Elections,sge-elections,https://lasunison.co.uk/sge-elections,2022-06-10,2022,Branch News | Branch Secretary,branch | branch secretary | unison | SGE,66,Y,Keep (recent),,,
6334,Get help with school clothing costs this summer,get-help-with-school-clothing-costs-this-summer,https://lasunison.co.uk/get-help-with-school-clothing-costs-this-summer,2022-06-06,2022,Benefits | UNISON News,,102,Y,Keep (recent),,,
6253,PUT NHS PAY RIGHT,put-nhs-pay-right,https://lasunison.co.uk/put-nhs-pay-right,2022-05-25,2022,Branch News | Branch Secretary | Pay,afc | branch secretary | chief executive | government | las | NHS | pay | unison,482,Y,Keep (recent),,,
6216,Branch Banner,branch-banner,https://lasunison.co.uk/branch-banner,2022-04-21,2022,Branch News | Branch Secretary,ambulance | branch | branch secretary | NHS | unison | Eric Roberts,156,Y,Keep (recent),,,
6186,London ambulance staff lead humanitarian convoy to Ukraine,london-ambulance-staff-lead-humanitarian-convoy-to-ukraine,https://lasunison.co.uk/london-ambulance-staff-lead-humanitarian-convoy-to-ukraine,2022-03-28,2022,Branch News | International,ambulance | branch | branch secretary | las | paramedic | unison | International,1185,Y,Keep (recent),,,
5932,How to support Ukraine,how-to-support-ukraine,https://lasunison.co.uk/how-to-support-ukraine,2022-03-03,2022,UNISON News | International,government | unison | welfare | Ukraine | International,419,Y,Keep (recent),,,
5923,"Miserly government NHS pay proposal won’t clear the backlog or help patients, says UNISON",miserly-government-nhs-pay-proposal-wont-clear-the-backlog-or-help-patients-says-unison,https://lasunison.co.uk/miserly-government-nhs-pay-proposal-wont-clear-the-backlog-or-help-patients-says-unison,2022-02-23,2022,Pay | UNISON News,afc | government | NHS | pay | unison,289,Y,Keep (recent),,,
5919,DHSC responds to NHS Pension Scheme member contribution consultation,dhsc-responds-to-nhs-pension-scheme-member-contribution-consultation,https://lasunison.co.uk/dhsc-responds-to-nhs-pension-scheme-member-contribution-consultation,2022-02-17,2022,Pay | Pensions | UNISON News,afc | government | NHS | pay | pensions | unison,292,Y,Keep (recent),,,
5916,VCOD next steps FAQs and Consultation,vcod-next-steps-faqs-and-consultation,https://lasunison.co.uk/vcod-next-steps-faqs-and-consultation,2022-02-13,2022,Other,consultation | covid 19 | government | NHS,269,Y,Keep (recent),,,
5901,"Jab backdown the right thing to do, but the damage has already been done, says UNISON",jab-backdown-the-right-thing-to-do-but-the-damage-has-already-been-done-says-unison,https://lasunison.co.uk/jab-backdown-the-right-thing-to-do-but-the-damage-has-already-been-done-says-unison,2022-02-01,2022,UNISON News,covid 19 | general secretary | government | NHS | unison,203,Y,Keep (recent),,,
5898,Coronavirus: your rights at work,coronavirus-your-rights-at-work,https://lasunison.co.uk/coronavirus-your-rights-at-work,2022-01-26,2022,UNISON News,covid 19 | government | NHS | unison,4134,Y,Keep (recent),,,
5879,Vaccination as a Condition of Deployment (VCOD) in England,vaccination-as-a-condition-of-deployment-vcod-in-england,https://lasunison.co.uk/vaccination-as-a-condition-of-deployment-vcod-in-england,2022-01-18,2022,UNISON News,covid 19 | government | NHS | unison,1928,Y,Keep (recent),,,
5855,Mandatory COVID vaccination of health and care workers (England),mandatory-covid-vaccination-of-health-and-care-workers-england,https://lasunison.co.uk/mandatory-covid-vaccination-of-health-and-care-workers-england,2021-11-27,2021,UNISON News,covid 19 | government | NHS | unison,615,Y,Keep (recent),,,
5840,NHS pay (England),nhs-pay-england,https://lasunison.co.uk/nhs-pay-england,2021-11-03,2021,Pay | UNISON News | Agenda for Change,afc | ballot | consultation | government | NHS | pay | talks | unison | vote,318,Y,Keep (recent),,,
