ID,Title,Slug,Date,Type,File / URL,Suggested,Decision,Notes
4595,Annex-2-Pay-bands-and-pay-points-on-the-second-pay-spine-in-England-from-1-April-2016,annex-2-pay-bands-and-pay-points-on-the-second-pay-spine-in-england-from-1-april-2016-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Annex-2-Pay-bands-and-pay-points-on-the-second-pay-spine-in-England-from-1-April-2016.pdf,Keep (recent),,
4597,Annex-9-High-cost-area-supplements,annex-9-high-cost-area-supplements-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Annex-9-High-cost-area-supplements.pdf,Keep (recent),,
4599,HC-047-17 NHS Pay consultation - attachment,hc-047-17-nhs-pay-consultation-attachment-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/HC-047-17 NHS Pay consultation - attachment.pdf,Keep (recent),,
4601,HC-099-17 NHS pay - UNISON response to Budget,hc-099-17-nhs-pay-unison-response-to-budget-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/HC-099-17 NHS pay - UNISON response to Budget.pdf,Keep (recent),,
4603,Joint Union Ambulance paramedic banding update,joint-union-ambulance-paramedic-banding-update-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Joint Union Ambulance paramedic banding update.pdf,Keep (recent),,
4605,Joint Union Notice Fast Track Position Sept 2017,joint-union-notice-fast-track-position-sept-2017-3,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Joint Union Notice Fast Track Position Sept 2017.pdf,Keep (recent),,
4607,Paramedic National Band 6 JD Final (Apr 2018),paramedic-national-band-6-jd-final-apr-2018-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Paramedic National Band 6 JD Final (Apr 2018).pdf,Keep (recent),,
4575,Newsletter jan 2017,newsletter-jan-2017-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Newsletter jan 2017.pdf,Keep (recent),,
4577,Newsletter march 2017,newsletter-march-2017-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Newsletter march 2017.pdf,Keep (recent),,
4579,There_for_You_Presentation_AGM_2019_-_Read-Only (1),there_for_you_presentation_agm_2019_-_read-only-1-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/There_for_You_Presentation_AGM_2019_-_Read-Only (1).pdf,Keep (form/reference),,
4581,Winter2016,winter2016-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Winter2016.pdf,Keep (recent),,
4583,Young Members July 19,young-members-july-19-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Young Members July 19.pdf,Keep (recent),,
4585,newsletterservice-wide,newsletterservice-wide-3,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/newsletterservice-wide.pdf,Keep (recent),,
4587,privatenewsletter2,privatenewsletter2-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/privatenewsletter2.pdf,Keep (recent),,
4589,welfarenewslettersummer,welfarenewslettersummer-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/welfarenewslettersummer.pdf,Keep (recent),,
4567,2015-12-01 CHSG Minutes,2015-12-01-chsg-minutes-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/2015-12-01 CHSG Minutes.pdf,Keep (recent),,
4569,2016-11-14 CHSG Minutes,2016-11-14-chsg-minutes-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/2016-11-14 CHSG Minutes.pdf,Keep (recent),,
4571,STAFF COUNCIL 24 02 17 FINALDRAFT (1),staff-council-24-02-17-finaldraft-1-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/STAFF COUNCIL 24 02 17 FINALDRAFT (1).pdf,Keep (recent),,
4573,STAFF COUNCIL 9 5 17,staff-council-9-5-17-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/STAFF COUNCIL 9 5 17.pdf,Keep (recent),,
4565,ambulance FINAL jointly agreed statement Nov 2017 (002),ambulance-final-jointly-agreed-statement-nov-2017-002-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/ambulance FINAL jointly agreed statement Nov 2017 (002).pdf,Keep (recent),,
4545,4152_001 (1),4152_001-1-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/4152_001 (1).pdf,Keep (recent),,
4547,EMT 4 Transition - 110119,emt-4-transition-110119-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/EMT 4 Transition - 110119.pdf,Keep (recent),,
4549,EMT4 (UNISON Response),emt4-unison-response-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/EMT4 (UNISON Response).pdf,Keep (recent),,
4551,Eric Roberts 210915,eric-roberts-210915-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Eric Roberts 210915.pdf,Keep (recent),,
4553,Eric Roberts 2109151,eric-roberts-2109151-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Eric Roberts 2109151.pdf,Keep (recent),,
4555,Eric Roberts 2109152,eric-roberts-2109152-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Eric Roberts 2109152.pdf,Keep (recent),,
4557,Eric Roberts 2109153,eric-roberts-2109153-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Eric Roberts 2109153.pdf,Keep (recent),,
4559,Eric Roberts 2109154,eric-roberts-2109154-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Eric Roberts 2109154.pdf,Keep (recent),,
4561,UNISON Annual Leave response,unison-annual-leave-response-2,2020-03-25,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/UNISON Annual Leave response.pdf,Keep (recent),,
